ORF_Info,Phi_Post_Arith_Mean,Phi_Post_Median,Phi_Post_Geom_Mean,Phi_Post_Harm_Mean,Phi_Post_SD
SAKL0C02574g,0.171959986898768,0.164495127383536,0.15554668415594,0.137562186099604,0.0741075115999116
SAKL0C02596g,0.376450616404013,0.372698538778098,0.363945118381891,0.35026354208442,0.0943251286384451
SAKL0C02618g,0.597250021202326,0.597762249149716,0.593512972708926,0.589705789786259,0.0663369012979852
SAKL0C02640g,1.03855615592083,1.03718108513932,1.03070107455486,1.02275272969483,0.127178416909902
SAKL0C02662g,0.94289506435404,0.940644325842517,0.934642372453986,0.926222201883572,0.123917177275788
SAKL0C02684g,0.788904695384725,0.785373006141455,0.77981225857546,0.770474955711378,0.11854343889932
SAKL0C02706g,1.2053542334966,1.19864177018973,1.18485813494413,1.16336339506786,0.218401147996385
SAKL0C02728g,0.640915928772176,0.639898515219758,0.629835169307805,0.61809996319213,0.116771364356826
SAKL0C02750g,0.179778558335981,0.174164614703782,0.167501944457901,0.154124384981713,0.0652051347488746
SAKL0C02772g,0.246485142326148,0.236172533859482,0.224518198625419,0.199690178729111,0.101132002644871
SAKL0C02794g,0.707600237007626,0.701975491145181,0.689247438908504,0.669166812604782,0.156363768943891
SAKL0C02816g,0.197759840376299,0.194038149671356,0.18447309541351,0.169513116596995,0.0698958945080083
SAKL0C02838g,0.807246190566278,0.803761330401445,0.792974227150937,0.777969866092672,0.149181292432101
SAKL0C02860g,0.184947389709726,0.182386593819899,0.173104439487894,0.159985269010575,0.0638006546860423
SAKL0C02882g,0.697909802196479,0.694842041356888,0.687047256201388,0.67563409071627,0.120880700867036
SAKL0C02904g,0.377522193102714,0.370533743844699,0.351230947293461,0.320376712315812,0.13420617145889
SAKL0C02926g,0.364890568976313,0.35641352041541,0.340828151790038,0.313614138547932,0.127772540132551
SAKL0C02948g,0.0467163698088621,0.0435341201898545,0.0424761407433519,0.0381065359556621,0.0198990443363344
SAKL0C02970g,1.32706970295218,1.32694545205447,1.32059387153805,1.31403432543575,0.130455546883292
SAKL0C02992g,0.493176219070133,0.492640641128174,0.481163506704247,0.468043731763386,0.105776811952062
SAKL0C03014g,0.288180907130679,0.281705267247276,0.269227752267832,0.247869512661191,0.100425593759686
SAKL0C03036g,0.67978911830002,0.678109153487871,0.665695418357089,0.650651144933563,0.135355464174466
SAKL0C03058g,0.323884339772195,0.306210735857826,0.291870533750785,0.256488181430875,0.140613977865963
SAKL0C03080g,1.6204746378375,1.61019214718292,1.58130563673669,1.5401427889227,0.351568932293775
SAKL0C03102g,0.741468367973688,0.738004417892906,0.728499016433196,0.714971589599332,0.1367031600381
SAKL0C03124g,0.721979691705849,0.719664778710112,0.692144368005716,0.657742174579193,0.198838285258648
SAKL0C03146g,0.383707996588028,0.382361056517342,0.370477222810592,0.355177828247134,0.0961574109759863
SAKL0C03190g,0.183043903588118,0.178659938736581,0.171392282248285,0.158166792788262,0.062787394847076
SAKL0C03212g,0.133413199885636,0.122506928298171,0.119463284248086,0.105023062498511,0.0616127737121833
SAKL0C03234g,0.238591198593181,0.228534741253504,0.216296086428296,0.190502291629852,0.0998160005702673
SAKL0C03256g,0.175732248540113,0.168777725694355,0.160429193916567,0.144071293823847,0.0725000677219125
SAKL0C03278g,0.322265183099827,0.318820091667646,0.310668323629775,0.297822708803694,0.0836239803732061
SAKL0C03300g,1.77572354619911,1.7730689389309,1.76236622473126,1.74877929954844,0.216494629885126
SAKL0C03322g,0.456920264232275,0.456721533841901,0.437993866244738,0.416445038780165,0.125813323739603
SAKL0C03344g,0.47607465190507,0.472969350568497,0.461762944380612,0.446346807432819,0.113555013185395
SAKL0C03366g,0.909023112318894,0.906533450844965,0.895109178411581,0.880672428578018,0.157026654332747
SAKL0C03388g,0.930876301604108,0.928651166696751,0.924821070276616,0.918654801281244,0.105472206938294
SAKL0C03410g,0.17958609807245,0.175936221424992,0.168263071725197,0.155444496152155,0.0615104328881326
SAKL0C03432g,0.452823356328789,0.448927574207394,0.439202479188628,0.424339692134294,0.107777707234436
SAKL0C03454g,0.647814485352711,0.647861695193155,0.633954408093691,0.619256777082786,0.131395192750645
SAKL0C03476g,0.301972305488196,0.286325798634736,0.270324194972758,0.234258932602749,0.133837892348763
